modality,signal,pid,id1,button1,condition1,id2,button2,condition2,id3,button3,condition3,id4,button4,condition4,id5,button5,condition5
kinetic,has_information,24,1172,1172.png,contrastive,417,417.png,autoencoder,418,418.png,VAE,1922,1922.png,random,1657,1657.png,contrastive+autoencoder
kinetic,has_information,24,965,965.png,contrastive+autoencoder,955,955.png,autoencoder,967,967.png,contrastive+VAE,1091,1091.png,random,1340,1340.png,contrastive
kinetic,has_information,24,470,470.png,contrastive,216,216.png,random,217,217.png,contrastive+VAE,218,218.png,contrastive+autoencoder,205,205.png,autoencoder
kinetic,has_information,24,2096,2096.png,random,2075,2075.png,autoencoder,2085,2085.png,contrastive+autoencoder,2097,2097.png,contrastive+VAE,847,847.png,contrastive
kinetic,has_information,24,1601,1601.png,VAE,1607,1607.png,contrastive+autoencoder,1621,1621.png,contrastive+VAE,1606,1606.png,autoencoder,1623,1623.png,random
kinetic,has_information,24,2078,2078.png,random,2098,2098.png,contrastive+autoencoder,2080,2080.png,VAE,2076,2076.png,contrastive+VAE,846,846.png,contrastive
kinetic,has_information,24,1668,1668.png,contrastive+autoencoder,1671,1671.png,contrastive+VAE,1656,1656.png,random,1661,1661.png,autoencoder,1651,1651.png,VAE
kinetic,has_information,24,1065,1065.png,contrastive+autoencoder,592,592.png,contrastive,1068,1068.png,random,940,940.png,VAE,1067,1067.png,contrastive+VAE
kinetic,has_information,24,2076,2076.png,VAE,2081,2081.png,contrastive,2075,2075.png,contrastive+VAE,2077,2077.png,autoencoder,2078,2078.png,contrastive+autoencoder
kinetic,has_information,24,818,818.png,random,816,816.png,autoencoder,933,933.png,VAE,941,941.png,contrastive+VAE,107,107.png,contrastive
